x, y, vx, vy
-100, 3, 10, 10
-99.95, 3, 9.99995, 9.99995
-99.9, 3, 9.9999, 9.9999
-99.85, 3, 9.99985, 9.99985
-99.8, 3, 9.9998, 9.9998
-99.75, 3, 9.99975, 9.99975
-99.7, 3, 9.9997, 9.9997
-99.65, 3, 9.99965, 9.99965
-99.6, 3, 9.9996, 9.9996
-99.55, 3, 9.99955, 9.99955
-99.5, 3, 9.9995, 9.9995
-99.45, 3, 9.99945, 9.99945
-99.4, 3, 9.9994, 9.9994
-99.35, 3, 9.99935, 9.99935
-99.3, 3, 9.9993, 9.9993
-99.25, 3, 9.99924, 9.99924
-99.2, 3, 9.99919, 9.99919
-99.15, 3, 9.99914, 9.99914
-99.1001, 3, 9.99909, 9.99909
-99.0501, 3, 9.99904, 9.99904
-99.0001, 3, 9.99899, 9.99899
-98.9501, 3, 9.99894, 9.99894
-98.9001, 3, 9.99889, 9.99889
-98.8501, 3, 9.99884, 9.99884
-98.8001, 3, 9.99879, 9.99879
-98.7501, 3, 9.99874, 9.99874
-98.7001, 3, 9.99868, 9.99868
-98.6501, 3, 9.99863, 9.99863
-98.6001, 3, 9.99858, 9.99858
-98.5501, 3, 9.99853, 9.99853
-98.5001, 3, 9.99848, 9.99848
-98.4501, 3, 9.99843, 9.99843
-98.4001, 3, 9.99838, 9.99838
-98.3501, 3, 9.99832, 9.99832
-98.3001, 3, 9.99827, 9.99827
-98.2501, 3, 9.99822, 9.99822
-98.2001, 3, 9.99817, 9.99817
-98.1502, 3.00001, 9.99812, 9.99812
-98.1002, 3.00001, 9.99807, 9.99807
-98.0502, 3.00001, 9.99802, 9.99802
-98.0002, 3.00001, 9.99796, 9.99796
-97.9502, 3.00001, 9.99791, 9.99791
-97.9002, 3.00001, 9.99786, 9.99786
-97.8502, 3.00001, 9.99781, 9.99781
-97.8002, 3.00001, 9.99775, 9.99775
-97.7503, 3.00001, 9.9977, 9.9977
-97.7003, 3.00001, 9.99765, 9.99765
-97.6503, 3.00001, 9.9976, 9.9976
