x, y, vx, vy
-100, 0.5, 10, 10
-99.95, 0.5, 9.99995, 9.99995
-99.9, 0.5, 9.9999, 9.9999
-99.85, 0.5, 9.99985, 9.99985
-99.8, 0.5, 9.9998, 9.9998
-99.75, 0.5, 9.99975, 9.99975
-99.7, 0.5, 9.9997, 9.9997
-99.65, 0.5, 9.99965, 9.99965
-99.6, 0.5, 9.9996, 9.9996
-99.55, 0.5, 9.99955, 9.99955
-99.5, 0.5, 9.9995, 9.9995
-99.45, 0.5, 9.99945, 9.99945
-99.4, 0.5, 9.9994, 9.9994
-99.35, 0.5, 9.99934, 9.99934
-99.3, 0.5, 9.99929, 9.99929
-99.25, 0.5, 9.99924, 9.99924
-99.2, 0.5, 9.99919, 9.99919
-99.15, 0.5, 9.99914, 9.99914
-99.1001, 0.5, 9.99909, 9.99909
-99.0501, 0.5, 9.99904, 9.99904
-99.0001, 0.5, 9.99899, 9.99899
-98.9501, 0.5, 9.99894, 9.99894
-98.9001, 0.5, 9.99889, 9.99889
-98.8501, 0.5, 9.99884, 9.99884
-98.8001, 0.5, 9.99879, 9.99879
-98.7501, 0.5, 9.99873, 9.99873
-98.7001, 0.5, 9.99868, 9.99868
-98.6501, 0.5, 9.99863, 9.99863
-98.6001, 0.5, 9.99858, 9.99858
-98.5501, 0.5, 9.99853, 9.99853
-98.5001, 0.5, 9.99848, 9.99848
-98.4501, 0.5, 9.99843, 9.99843
-98.4001, 0.5, 9.99837, 9.99837
-98.3501, 0.500001, 9.99832, 9.99832
-98.3001, 0.500001, 9.99827, 9.99827
-98.2501, 0.500001, 9.99822, 9.99822
-98.2001, 0.500001, 9.99817, 9.99817
-98.1502, 0.500001, 9.99812, 9.99812
-98.1002, 0.500001, 9.99806, 9.99806
-98.0502, 0.500001, 9.99801, 9.99801
-98.0002, 0.500001, 9.99796, 9.99796
-97.9502, 0.500001, 9.99791, 9.99791
-97.9002, 0.500001, 9.99786, 9.99786
-97.8502, 0.500001, 9.9978, 9.9978
-97.8002, 0.500001, 9.99775, 9.99775
-97.7503, 0.500001, 9.9977, 9.9977
-97.7003, 0.500001, 9.99765, 9.99765
-97.6503, 0.500001, 9.99759, 9.99759
-97.6003, 0.500001, 9.99754, 9.99754
-97.5503, 0.500001, 9.99749, 9.99749
-97.5003, 0.500002, 9.99744, 9.99744
-97.4503, 0.500002, 9.99738, 9.99738
-97.4003, 0.500002, 9.99733, 9.99733
-97.3504, 0.500002, 9.99728, 9.99728
-97.3004, 0.500002, 9.99723, 9.99723
-97.2504, 0.500002, 9.99717, 9.99717
-97.2004, 0.500002, 9.99712, 9.99712
-97.1504, 0.500002, 9.99707, 9.99707
-97.1004, 0.500002, 9.99702, 9.99702
-97.0504, 0.500002, 9.99696, 9.99696
-97.0004, 0.500002, 9.99691, 9.99691
-96.9505, 0.500002, 9.99686, 9.99686
-96.9005, 0.500002, 9.9968, 9.9968
-96.8505, 0.500002, 9.99675, 9.99675
-96.8005, 0.500002, 9.9967, 9.9967
-96.7505, 0.500002, 9.99664, 9.99664
-96.7005, 0.500003, 9.99659, 9.99659
-96.6506, 0.500003, 9.99654, 9.99654
-96.6006, 0.500003, 9.99648, 9.99648
-96.5506, 0.500003, 9.99643, 9.99643
-96.5006, 0.500003, 9.99638, 9.99638
-96.4506, 0.500003, 9.99632, 9.99632
-96.4007, 0.500003, 9.99627, 9.99627
-96.3507, 0.500003, 9.99621, 9.99621
-96.3007, 0.500003, 9.99616, 9.99616
-96.2507, 0.500003, 9.99611, 9.99611
-96.2007, 0.500004, 9.99605, 9.99605
-96.1508, 0.500004, 9.996, 9.996
-96.1008, 0.500004, 9.99594, 9.99594
-96.0508, 0.500004, 9.99589, 9.99589
-96.0008, 0.500004, 9.99584, 9.99584
-95.9508, 0.500004, 9.99578, 9.99578
-95.9009, 0.500004, 9.99573, 9.99573
-95.8509, 0.500004, 9.99567, 9.99567
-95.8009, 0.500005, 9.99562, 9.99562
-95.7509, 0.500005, 9.99556, 9.99556
-95.7009, 0.500005, 9.99551, 9.99551
-95.651, 0.500005, 9.99545, 9.99545
-95.601, 0.500005, 9.9954, 9.9954
